track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,isMale
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,62,4pl2838fY2YPaqiT2yWuMo,So Am I (Toby Green Remix),5/23/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.625,0.938,6,-3.983,1,0.0517,0.00432,0.00026,0.0923,0.371,127.997,166875,0
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,30,6MhbDWEsAP9Xsgoj0TuEOc,When You Leave (Breathe Carolina Remix),4/19/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.679,0.909,1,-2.929,1,0.105,0.0334,0,0.269,0.819,119.885,155080,0
1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,Charlie Puth,56,2Ryw2kkGP0VecGM9b4kjgo,Mother (Fedde Le Grand Remix),11/1/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.641,0.869,11,-4.754,1,0.0423,0.0319,0.00131,0.403,0.358,128.091,178125,0
4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,Starley,56,249wM0bMES3O4nFuwARq9i,Signs (Eden Prince Remix),11/30/2018,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.702,0.814,0,-7.51,0,0.0841,0.107,3.03E-05,0.374,0.503,121.993,172000,0
0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,Zara Larsson,58,6rWRg6yLGcLdG0IRaCB9LN,Ruin My Life (Remixes),11/23/2018,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.723,0.837,11,-6.487,1,0.0389,0.0103,0.000477,0.0834,0.643,123.952,177097,0
7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,Ava Max,60,6gKLNSKPll9DAG5xiygMxD,Torn (KREAM Remix),9/5/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.742,0.864,0,-5.06,1,0.0976,0.00141,0.00467,0.241,0.727,125.032,169935,0
7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,James Arthur,60,4H87kr1cjR2CSUkTFopYEK,Quite Miss Home (Steve Void Remix),11/22/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.716,0.815,10,-4.121,1,0.0533,0.108,0,0.163,0.351,124.975,220413,0
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,3E3l9Ae226bVoSwoPNuwWv,Love Me Less (Remixes),6/21/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.748,0.831,1,-5.029,1,0.115,0.0823,7.36E-05,0.0757,0.894,128.024,185273,1
508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,Marshmello,59,44iw4l4Syoi5HZgCQzNSKJ,Happier (Remixes Pt. 2),11/30/2018,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.816,0.833,5,-5.972,1,0.0511,0.126,9.09E-06,0.0625,0.793,122.032,170164,1
2tilX6FUl0IwFgiOYjuc6V,Unlove You,Armin van Buuren,62,6k63cIUizpLu0h5hhIg8LG,Unlove You,10/18/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.678,0.928,3,-3.66,0,0.0597,0.0303,3.33E-05,0.143,0.663,116.892,150160,1
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,83,6lMlX68jJrx67hiCqdiDvW,bad guy (with Justin Bieber),7/11/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840,0
478QYNLw6dhTTx4oEkhBeq,Freaking Me Out - Keanu Silva Remix,Ava Max,55,6sOIjQyLBuivHFkEBttj5J,Freaking Me Out (Keanu Silva Remix),11/1/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.755,0.931,1,-4.104,0,0.0606,0.132,0.0271,0.0854,0.288,122.041,177466,0
2k4c9ZAlIYHyXiJ4i20FO7,When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,13u5uffEUZZBoaI5kn5Zqd,When It Comes To You (Remixes),10/25/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.789,0.893,10,-4.364,0,0.168,0.0538,0,0.221,0.41,121.956,144073,1
6B2NRQjtSOtqi67d72r5cx,American Boy - Brooks Remix,Estelle,56,2oUf4rrrptVC50h75WzjmI,American Boy (Brooks Remix),6/14/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.609,0.764,5,-4.564,0,0.111,0.0994,0,0.197,0.531,128.082,200625,0
5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,6GXIqRarFMaBWoF4N33foM,Crash Into Me (Settle Down Steavis Aoki Remix),11/12/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.535,0.956,1,-2.996,0,0.0343,0.000609,0.0109,0.262,0.12,127.984,266719,1
5qCrT9lVmIGxqB8i6bb83P,Lovers + Strangers - GATTÜSO Remix,Starley,46,3BnKoWIFRdfjSmxfQPOHuK,Lovers + Strangers (GATTÜSO Remix),11/15/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.649,0.821,10,-4.952,0,0.0472,0.017,0.000347,0.0655,0.394,125.977,203968,0
3Lv3frZVXU7Q0JEFvLIzWW,Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,7g15PlMnaKmFMUsSpR8aZt,Promises (with Sam Smith) [Remixes],10/19/2018,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.588,0.697,3,-4.744,0,0.0372,0.186,0.000219,0.103,0.225,125.157,190417,1
6EDH26ppl7R8oV4tGilCkS,Trampoline - Dave Audé Remix,SHAED,45,2ms8D5cy72qBtVnxKlXtP3,Melt (Deluxe),12/27/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.607,0.955,7,-3.613,0,0.102,0.0163,0.121,0.0725,0.501,125.984,230476,0
4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,5DInvPwtc0gzZuZjpu1BHc,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],7/11/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.607,0.995,9,-2.325,0,0.0487,0.0921,0.002,0.0445,0.664,124.998,188640,0
3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,Khalid,60,3zKB8eOzx6nPOnKUf0A4CS,Talk (Disclosure VIP),3/27/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.775,0.867,4,-7.388,0,0.204,0.0158,0.0117,0.0355,0.565,128.956,273229,1
6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,7kDHIbujnNBfCxe0KhYkZ3,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],10/4/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.784,0.779,8,-5.48,1,0.0387,0.0357,0.025,0.0245,0.459,124.994,216714,0
27F9FlipD657qYRQT3qxFm,Treehouse - R3HAB Remix,James Arthur,56,6T3Bfp49DNsclv7kq9eqP2,Treehouse (R3HAB Remix),9/13/2019,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.367,0.783,6,-4.504,1,0.154,0.00515,0,0.0545,0.289,88.013,192653,0
6B9cqNooxIyPfr3P5EB8LA,Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,00wIfIEWOqJ2RFrRazVl0i,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2/9/2018,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.609,0.83,6,-3.759,0,0.0793,0.201,6.18E-05,0.0321,0.604,117.833,238451,1
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,83,41S9bfzXTSGK4HU2mp5qXH,Magnets EP,5/24/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,174444,1
5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello,83,6NHS3hV16MZyfcp0nSHdrd,Here With Me,3/8/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,156347,1
4PkIDTPGedm0enzdvilLNd,Sixteen,Ellie Goulding,81,5AXNN75OmMjFrwst6ExNPx,Sixteen,4/12/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.669,0.801,8,-5.445,1,0.136,0.268,0,0.0594,0.541,109.919,201072,0
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,85,3KjXg0MDej2pG9fv6I22lT,Never Really Over,5/31/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,223523,0
3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,05Bru0ZVTxp4orAyrZIA77,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],10/4/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.789,0.858,5,-4.388,1,0.0404,0.22,4.58E-05,0.335,0.491,110.012,173455,1
3OTSBoYKO7HzGVj8Bu2OH9,All the Time,Zara Larsson,74,4x79GTZCS7XsmxK9qxxMmV,All the Time,6/21/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.665,0.799,6,-2.868,0,0.0617,0.18,0,0.125,0.5,101.976,228112,0
4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),Jonas Blue,81,6gPZmYBSipug1asf4zu9jh,What I Like About You (feat. Theresa Rex),3/22/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.46,0.8,1,-3.584,1,0.05,0.289,6.16E-06,0.121,0.553,102.46,220396,0
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,79,2BM5FQCILC33Va2jOZ11Mu,Ruin My Life,10/18/2018,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,190932,0
6XqvFyJGdUD5IWee02ARKU,Polaroid,Jonas Blue,16,6x8gRx7RDvPckYBzPodW8w,Blue,11/9/2018,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.652,0.898,7,-4.481,0,0.0361,0.29,0,0.073,0.472,114.043,193377,0
575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,Shawn Mendes,75,3ynoYncFXzo2OfPT8j93Pw,Lost In Japan (Remix),9/27/2018,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.706,0.855,10,-5.377,1,0.215,0.0911,0,0.347,0.293,107.184,201253,0
7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,Loud Luxury,55,3AaYBMcqoBYcZLfBsNDLri,I'm Not Alright,7/12/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.876,0.856,4,-3.884,1,0.0486,0.0812,1.29E-06,0.457,0.685,121.991,185062,0
2b1BwUGGyKq0CoJd8G1B6M,Harder,Jax Jones,62,1fYOToOfdZXY5hrOra8z2Z,Snacks,7/12/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.906,0.832,5,-3.004,0,0.0718,0.0909,0,0.152,0.751,104.03,159753,1
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,84,7nEiwcUSwycvC77kZ9ub7c,The Middle,1/23/2018,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,1
6ksMjdec8b6C45TUawkAdu,Crash Into Me,Steve Aoki,37,2dRuXHSYXjRubjTkjMFZFD,Crash Into Me,7/12/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.672,0.815,1,-6.476,0,0.0981,0.00246,0,0.577,0.341,115.033,226093,1
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,85,0syM7OUAhV7S6XmOa4nLUZ,Ivy To Roses (Mixtape),1/18/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.674,0.881,9,-2.853,1,0.147,0.296,3.01E-06,0.0793,0.234,98.994,178480,0
1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,Steve Aoki,52,6nPJEALAjWKOE1jWPws7jj,Let It Be Me,9/6/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.661,0.758,7,-5.299,1,0.0864,0.0797,0,0.106,0.387,114.098,224061,1
7FCZhkhzEUVNUAlGauNKIe,Lovers + Strangers,Starley,58,25sQqb9Bw2zbBLXQGJwFRG,Lovers + Strangers,10/11/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.653,0.69,1,-5.003,1,0.0756,0.109,0,0.136,0.652,110.214,178501,0
2JoIjuzRplpYGvvLpSW2on,Sad Song (feat. TINI),Alesso,72,0D26ZmfHtg7309j2TEKxnR,Sad Song (feat. TINI),6/14/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.734,0.693,0,-6.474,1,0.0361,0.0878,0,0.341,0.55,110.021,154024,1
1nufXiTCTTAeJfO9hLHvO8,Save Me Tonight,ARTY,63,0wQCkA93jbaOowF6bHsDfz,Save Me Tonight,1/25/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.55,0.899,5,-3.284,0,0.0458,0.0113,9.65E-05,0.137,0.408,125.85,170079,1
1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,1XYA8eDvomdYTbQBzk0jT1,Pretty Girl (Cheat Codes X CADE Remix),3/2/2017,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613,0
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),Martin Garrix,76,7KJTuTXYSnBGNgAxte3CSg,No Sleep (feat. Bonn),2/21/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.44,0.635,11,-6.385,1,0.0326,0.129,0,0.121,0.327,128.133,207095,0
5l8AUgBTWuOECwVgYtaUyE,Endless Summer,Cashae,56,7zygyMUltFYOvHoT3NOTsj,Endless Summer,7/12/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.625,0.719,4,-5.541,1,0.0612,0.048,0,0.0668,0.326,101.091,202072,1
7KW3XQV5Or5CF57MYVj5h4,Party For One,Carly Rae Jepsen,64,25it7uSpNFuRoD6uNc0Tfu,Dedicated,5/17/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.699,0.633,6,-6.547,1,0.0362,0.0453,0,0.101,0.458,123.449,184533,0
1kQhi22kyluRCnIPAXtxEZ,I Found You (with Calvin Harris),benny blanco,62,7dQ734EW0iLvQfF6vBFNiZ,FRIENDS KEEP SECRETS,12/7/2018,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.79,0.865,6,-4.159,1,0.0438,0.0264,0.0892,0.24,0.362,122.99,189165,1
5cE201rNvIkryS8N1dJ5nR,Now That I Found You,Carly Rae Jepsen,5,1xqz6l2gObcbw25EqODDCt,Now That I Found You / No Drug Like Me,2/27/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.611,0.737,0,-5.154,0,0.0476,0.0145,0,0.107,0.574,124.169,200318,0
6BwClo5W3VvTzJv8bvZXDD,Something Real,Armin van Buuren,65,42Q6dojwO2PInszaHUFjly,Something Real,7/12/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.575,0.808,1,-4.578,1,0.0439,0.0446,0,0.0693,0.232,127.922,179531,1
108r6pnZHStBIktpyyps9w,TIME,Alesso,64,3d0kltye1eEt6vbHZJSJVE,ALESSO MIXTAPE - PROGRESSO VOLUME 1,3/8/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.768,0.808,5,-1.818,1,0.112,0.00627,5.33E-06,0.343,0.664,119.971,166000,1
24Hzd4FPhz0HPx9jhM9cap,Something About You (with Rudimental),Elderbrook,53,0xiqgV5gVnjsKVWpBqXyaO,Distinction EP,8/9/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.767,0.605,6,-5.737,0,0.188,0.559,0.000363,0.193,0.657,107.042,203200,1
4aTtHoSBB0CuQGA6vXBNyp,Home (feat. Bonn),Martin Garrix,72,1cL51Zp86zgzMDTXRiq8w9,Home (feat. Bonn),8/16/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07E-06,0.132,0.236,128.114,239067,0
0gIZLyF3MWQVcspzrLWYod,Simple (STVW Remix),FANNYPACK,39,3FGJOM0PZMpQUZ3CkUSDld,Simple (STVW Remix),4/12/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.434,0.917,9,-3.613,0,0.0633,0.301,1.80E-05,0.289,0.622,121.967,147554,0
6y1UtRcHQU07aUs3oxZ8Yn,Sorry,Joel Corry,75,1PvEp0qeU6o2rm0i2qUC2N,Sorry,4/5/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,188640,0
6mPstbtzhyqKmwefY4eVWD,The Upside (feat. Elle King),Lindsey Stirling,18,1B9rsSz0Prc3R2NtDrs5nN,The Upside (feat. Elle King) / The Upside / Underground,8/2/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.514,0.856,2,-4.285,1,0.0717,0.00123,6.34E-06,0.544,0.351,117.014,228502,0
6uBhi9gBXWjanegOb2Phh0,Stay,Zedd,79,1I4W7JKzYbl8VKRfD61DIS,Stay,2/23/2017,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,210091,1
1Pe3Tnahd3nNcKrTvNvNvW,Million Voices,Armin van Buuren,60,5cqwXF2j9LkvFInBFlnQd3,Balance,10/25/2019,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.466,0.869,3,-4.275,1,0.0529,0.0142,0.00241,0.115,0.185,126.113,187150,1
60wwxj6Dd9NJlirf84wr2c,Clarity,Zedd,74,7juWTdmjo0vYywWu8HiQxs,Clarity,1/1/2012,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,271427,1
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix,81,2v9rQe4F8fVSh5v8bAq0jF,Scared to Be Lonely,1/27/2017,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,220883,0
